org.apache.bookkeeper.stats.ThreadRegistry$ThreadPoolThread.meth,obj_level(threadPool),pc ⊔ level(this) ⊔ obj_level(this) ⊔ obj_level(threadPool)
org.apache.bookkeeper.stats.ThreadRegistry$ThreadPoolThread.meth,obj_level(this),pc ⊔ level(ordinal) ⊔ level(this) ⊔ level(threadId) ⊔ level(threadPool) ⊔ obj_level(this) ⊔ obj_level(threadPool)
org.apache.bookkeeper.stats.CachingStatsLogger.meth,obj_level(this),pc ⊔ level(statsLogger) ⊔ level(this) ⊔ obj_level(statsLogger)
org.apache.bookkeeper.stats.CachingStatsLogger.meth,obj_level(statsLogger),pc ⊔ level(statsLogger) ⊔ level(this) ⊔ obj_level(statsLogger)
org.apache.bookkeeper.stats.NullStatsLogger.meth,obj_level(this),pc ⊔ level(this) ⊔ obj_level(this)
org.apache.bookkeeper.stats.Stats.meth,obj_level(this),pc ⊔ level(this) ⊔ obj_level(this)
org.apache.bookkeeper.stats.NullStatsProvider.meth,obj_level(this),pc ⊔ level(this) ⊔ obj_level(this)
org.apache.bookkeeper.stats.AlertStatsLogger.meth,obj_level(@globalStatsLogger),pc ⊔ level(@globalStatsLogger) ⊔ level(alertStatName) ⊔ level(scope) ⊔ level(this) ⊔ obj_level(@globalStatsLogger) ⊔ obj_level(alertStatName) ⊔ obj_level(this)
org.apache.bookkeeper.stats.AlertStatsLogger.meth,obj_level(scope),pc ⊔ level(@globalStatsLogger) ⊔ level(scope) ⊔ level(this) ⊔ obj_level(@globalStatsLogger) ⊔ obj_level(scope) ⊔ obj_level(this)
org.apache.bookkeeper.stats.AlertStatsLogger.meth,obj_level(alertStatName),pc ⊔ level(@globalStatsLogger) ⊔ level(scope) ⊔ level(this) ⊔ obj_level(@globalStatsLogger) ⊔ obj_level(alertStatName) ⊔ obj_level(this)
org.apache.bookkeeper.stats.AlertStatsLogger.meth,obj_level(this),pc ⊔ level(@globalStatsLogger) ⊔ level(alertStatName) ⊔ level(scope) ⊔ level(this) ⊔ obj_level(@globalStatsLogger) ⊔ obj_level(alertStatName) ⊔ obj_level(this)
org.apache.bookkeeper.stats.CachingStatsProvider.meth,obj_level(provider),pc ⊔ level(provider) ⊔ level(this) ⊔ obj_level(provider)
org.apache.bookkeeper.stats.CachingStatsProvider.meth,obj_level(this),pc ⊔ level(provider) ⊔ level(this) ⊔ obj_level(provider)
org.apache.bookkeeper.stats.ThreadRegistry.meth,obj_level(this),pc ⊔ level(this) ⊔ obj_level(this)
org.apache.bookkeeper.stats.OpStatsData.meth,obj_level(@percentileLatenciesMillis),pc ⊔ level(@percentileLatenciesMillis) ⊔ level(this) ⊔ obj_level(@percentileLatenciesMillis) ⊔ obj_level(this)
org.apache.bookkeeper.stats.OpStatsData.meth,obj_level(this),pc ⊔ level(@percentileLatenciesMillis) ⊔ level(avgLatencyMillis) ⊔ level(numFailedEvents) ⊔ level(numSuccessfulEvents) ⊔ level(this) ⊔ obj_level(@percentileLatenciesMillis) ⊔ obj_level(this)
org.apache.bookkeeper.stats.NullStatsLogger$NullOpStatsLogger.meth,obj_level(this),pc ⊔ level(this) ⊔ obj_level(this)
org.apache.bookkeeper.stats.NullStatsLogger$NullCounter.meth,obj_level(this),pc ⊔ level(this) ⊔ obj_level(this)